   ; estado_civil ; instrucao   ; nfilho ; salario ; idade ; meses ; regiao
1  ; solteiro     ; Fundamental ;        ; 4.00    ; 26    ; 3     ; interior
2  ; casado       ; Fundamental ; 1      ; 4.56    ; 32    ; 10    ; capital
3  ; casado       ; Fundamental ; 2      ; 5.25    ; 36    ; 5     ; capital
4  ; solteiro     ; Médio       ;        ; 5.73    ; 20    ; 10    ; outro
5  ; solteiro     ; Fundamental ;        ; 6.26    ; 40    ; 7     ; outro
6  ; casado       ; Fundamental ; 0      ; 6.66    ; 28    ; 0     ; interior
7  ; solteiro     ; Fundamental ;        ; 6.86    ; 41    ; 0     ; interior
8  ; solteiro     ; Fundamental ;        ; 7.39    ; 43    ; 4     ; capital
9  ; casado       ; Médio       ; 1      ; 7.59    ; 34    ; 10    ; capital
10 ; solteiro     ; Médio       ;        ; 7.44    ; 23    ; 6     ; outro
11 ; casado       ; Médio       ; 2      ; 8.12    ; 33    ; 6     ; interior
12 ; solteiro     ; Fundamental ;        ; 8.46    ; 27    ; 11    ; capital
13 ; solteiro     ; Médio       ;        ; 8.74    ; 37    ; 5     ; outro
14 ; casado       ; Fundamental ; 3      ; 8.95    ; 44    ; 2     ; outro
15 ; casado       ; Médio       ; 0      ; 9.13    ; 30    ; 5     ; interior
16 ; solteiro     ; Médio       ;        ; 9.35    ; 38    ; 8     ; outro
17 ; casado       ; Médio       ; 1      ; 9.77    ; 31    ; 7     ; capital
18 ; casado       ; Fundamental ; 2      ; 9.80    ; 39    ; 7     ; outro
19 ; solteiro     ; Superior    ;        ; 10.53   ; 25    ; 8     ; interior
20 ; solteiro     ; Médio       ;        ; 10.76   ; 37    ; 4     ; interior
21 ; casado       ; Médio       ; 1      ; 11.06   ; 30    ; 9     ; outro
22 ; solteiro     ; Médio       ;        ; 11.59   ; 34    ; 2     ; capital
23 ; solteiro     ; Fundamental ;        ; 12.00   ; 41    ; 0     ; outro
24 ; casado       ; Superior    ; 0      ; 12.79   ; 26    ; 1     ; outro
25 ; casado       ; Médio       ; 2      ; 13.23   ; 32    ; 5     ; interior
26 ; casado       ; Médio       ; 2      ; 13.60   ; 35    ; 0     ; outro
27 ; solteiro     ; Fundamental ;        ; 13.85   ; 46    ; 7     ; outro
28 ; casado       ; Médio       ; 0      ; 14.69   ; 29    ; 8     ; interior
29 ; casado       ; Médio       ; 5      ; 14.71   ; 40    ; 6     ; interior
30 ; casado       ; Médio       ; 2      ; 15.99   ; 35    ; 10    ; capital
31 ; solteiro     ; Superior    ;        ; 16.22   ; 31    ; 5     ; outro
32 ; casado       ; Médio       ; 1      ; 16.61   ; 36    ; 4     ; interior
33 ; casado       ; Superior    ; 3      ; 17.26   ; 43    ; 7     ; capital
34 ; solteiro     ; Superior    ;        ; 18.75   ; 33    ; 7     ; capital
35 ; casado       ; Médio       ; 2      ; 19.40   ; 48    ; 11    ; capital
36 ; casado       ; Superior    ; 3      ; 23.30   ; 42    ; 2     ; interior
